Country,mean,median,<10k,10-100k,100k-1M,1M+
Afghanistan,1744.0,734.0,97.6,2.4,0.1,0.0
Albania,30524.0,15363.0,41.0,54.2,4.7,0.1
Algeria,8871.0,2302.0,87.0,11.7,1.2,0.1
Angola,3529.0,1131.0,93.5,6.2,0.2,0.0
Argentina,7224.0,2157.0,88.2,11.2,0.6,0.0
Armenia,22573.0,9411.0,52.3,44.0,3.5,0.1
Australia,483755.0,238072.0,9.8,20.7,60.0,9.4
Austria,290348.0,91833.0,14.2,36.9,44.1,4.8
Azerbaijan,11926.0,5022.0,73.5,25.2,1.3,0.0
Bahamas,56737.0,7507.0,54.0,39.7,5.7,0.6
Bahrain,87559.0,14520.0,45.0,48.0,6.1,0.9
Bangladesh,7837.0,3062.0,84.6,14.6,0.7,0.0
Barbados,63261.0,21071.0,41.0,46.0,12.4,0.6
Belarus,23278.0,12168.0,45.9,51.3,2.8,0.1
Belgium,351327.0,230548.0,11.9,20.1,62.3,5.7
Belize,10364.0,3015.0,82.0,16.6,1.4,0.0
Benin,2558.0,890.0,95.6,4.3,0.1,0.0
Bolivia,12286.0,3804.0,78.1,20.5,1.3,0.1
Bosnia and Herzegovina,30597.0,15283.0,41.0,54.1,4.8,0.1
Botswana,15598.0,3680.0,80.0,16.8,3.1,0.1
Brazil,18272.0,3469.0,79.5,17.5,2.8,0.1
British Caribbean,45109.0,14684.0,44.0,47.7,7.9,0.4
Brunei,39098.0,5122.0,64.0,32.1,3.5,0.4
Bulgaria,36443.0,17403.0,38.7,54.9,6.2,0.2
Burkina Faso,1681.0,622.0,98.0,1.9,0.1,0.0
Burundi,728.0,281.0,99.5,0.5,0.0,0.0
Cambodia,5895.0,2031.0,90.7,8.7,0.6,0.0
Cameroon,3042.0,941.0,94.3,5.5,0.2,0.0
Canada,332323.0,125688.0,20.7,25.1,48.6,5.6
Central African Republic,840.0,212.0,98.8,1.2,0.0,0.0
Chad,1117.0,355.0,98.7,1.3,0.1,0.0
Chile,53591.0,17747.0,39.1,51.6,8.8,0.5
China,67771.0,24067.0,20.9,66.1,12.5,0.5
Colombia,16928.0,4854.0,72.0,25.4,2.5,0.1
Comoros,5397.0,1466.0,91.5,7.9,0.6,0.0
"Congo, Dem. Rep.",1240.0,356.0,98.3,1.6,0.1,0.0
"Congo, Rep.",2180.0,582.0,95.6,4.2,0.1,0.0
Costa Rica,44337.0,14662.0,44.0,47.4,8.4,0.3
Croatia,69140.0,34945.0,27.0,57.0,15.5,0.5
Cyprus,142304.0,35300.0,23.0,57.0,18.3,1.7
Czechia,78103.0,23794.0,29.6,55.7,14.0,0.7
Denmark,376069.0,165622.0,15.4,25.4,52.5,6.7
Djibouti,3112.0,1077.0,94.0,6.0,0.0,0.0
Dutch Caribbean,40909.0,16810.0,40.0,52.7,7.1,0.2
Ecuador,17151.0,5444.0,69.9,27.9,2.1,0.1
Egypt,19468.0,6329.0,66.5,30.7,2.6,0.1
El Salvador,34003.0,11372.0,47.6,46.0,6.2,0.2
Equatorial Guinea,18246.0,4561.0,77.0,18.8,4.1,0.1
Eritrea,2846.0,1086.0,95.2,4.7,0.1,0.0
Estonia,77817.0,38901.0,30.5,53.5,15.3,0.7
Ethiopia,3540.0,1527.0,94.4,5.4,0.2,0.0
Fiji,15708.0,5764.0,69.0,28.3,2.6,0.1
Finland,167711.0,73775.0,27.8,35.2,35.1,1.9
France,299355.0,133559.0,14.8,27.0,53.3,4.9
French Caribbean,68443.0,23740.0,36.0,44.0,19.5,0.5
Gabon,13696.0,4685.0,74.0,24.5,1.4,0.1
Gambia,2500.0,658.0,94.9,4.9,0.2,0.0
Georgia,14162.0,4223.0,77.7,20.7,1.5,0.1
Germany,268681.0,65374.0,10.6,45.2,39.8,4.3
Ghana,6132.0,2198.0,88.5,11.1,0.4,0.0
Greece,104603.0,57595.0,22.1,49.3,27.7,0.9
Guinea,2942.0,938.0,94.5,5.4,0.2,0.0
Guinea-Bissau,1828.0,670.0,97.0,3.0,0.0,0.0
